id,movie_id,genre_id
17887,11217,1
933,11290,1
934,11290,5
16636,11295,1
14075,11304,1
14076,11304,12
6772,11306,1
6773,11306,11
1855,11307,1
1856,11307,5
13784,11346,3
13785,11346,7
13786,11346,11
13787,11346,16
13788,11346,19
19134,11347,1
19135,11347,19
15567,11354,19
14821,11380,1
14822,11380,5
14820,11380,16
12745,11389,1
9753,11394,1
9754,11394,5
9755,11394,13
14824,11402,1
14825,11402,5
10046,11403,1
10048,11403,7
10047,11403,19
7926,11424,1
7927,11424,4
7928,11424,7
7929,11424,18
7930,11424,19
3938,11467,19
15565,11481,4
15564,11481,11
799,11482,4
14371,11485,1
7324,11502,3
18716,11504,3
11494,11572,2
11496,11572,4
11497,11572,5
11495,11572,19
17359,11577,19
11242,11583,1
19573,11600,7
19572,11600,19
4166,11604,2
4168,11604,4
4167,11604,11
7992,11608,2
7993,11608,11
7994,11608,12
7991,11608,17
1934,11613,11
1933,11613,19
10454,11633,1
10455,11633,3
10456,11633,5
10457,11633,6
10458,11633,11
10459,11633,16
17929,11637,1
10280,11640,1
10963,11660,15
3686,11664,1
3687,11664,14
6735,11671,1
6737,11671,14
6736,11671,19
14730,11676,4
14729,11676,18
11123,11678,11
11124,11678,19
2878,11720,5
2879,11720,14
15167,11723,1
15169,11723,7
15166,11723,16
15168,11723,19
7901,11757,1
7902,11757,4
14054,11770,7
14051,11770,11
14052,11770,16
14053,11770,19
19171,11778,1
19173,11778,14
19172,11778,19
15536,11791,1
10182,11810,2
10183,11810,11
14045,11838,1
9450,11840,1
9451,11840,5
10276,11841,1
6770,11919,1
6771,11919,7
10545,11929,1
10548,11929,5
10546,11929,11
10547,11929,12
8795,11959,1
8797,11959,6
8798,11959,14
8796,11959,19
17743,11985,4
17745,11985,6
17746,11985,7
17744,11985,13
17901,12007,1
17902,12007,4
17903,12007,7
8254,12008,1
8255,12008,4
8257,12008,7
8256,12008,13
8976,12033,5
8979,12033,7
8977,12033,11
8978,12033,13
8341,12049,1
8342,12049,6
8982,12067,1
8983,12067,14
14837,12094,1
9088,12103,4
9089,12103,7
3170,12106,1
3171,12106,11
13456,12121,7
13454,12121,18
13455,12121,19
15729,12142,2
15730,12142,11
6517,12158,1
